trader_address_label,Entity,trader_address,account_value,roi,total_pnl(unrealize profit)
Smart HL Perps Trader [0x35d115],retail,0x35d1151ef1aab579cbb3109e69fa82f94ff5acb1,"22,533,716.69",0.08,"4,185,280.19"
Selini Capital [0x34fb5e],VCs,0x34fb5ec7d4e939161946340ea2a1f29254b893de,"2,722,120.01",0.00,"152,071.31"
High Balance [0x3440f2],retail,0x3440f23a87f1950e7a88cd248fd270e92d1132c5,"4,287,719.07",0.03,"667,829.78"
[0x335f45],retail,0x335f45392f8d87745aaae68f5c192849afd9b60e,"2,799,996.84",0.06,"307,356.98"
High Balance [0x31dea2],retail,0x31dea2516beee92135b96f464eeec3cf292a13f2,"16,163,334.07",0.03,"277,243.13"
Top 100 on PEPE Leaderboard [0x3042a6],retail,0x3042a6db38c1027c51db4538016cd9d99e5fbc0f,"458,156.61",0.00,"133,116.85"
pleasebepatientwithme.eth [0x2c4ebd],retail,0x2c4ebdcd592a74b4022ad9d1fb00ab6976abe483,"641,517.20",0.02,"107,970.96"
Former Smart Trader [0x2ba553],retail,0x2ba553d9f990a3b66b03b2dc0d030dfc1c061036,"5,276,103.16",0.08,"432,993.57"
oshobali.eth* [0x2b02ef],retail,0x2b02efbf4fa4585ae3cc9d81913770e9b12484db,"820,891.02",0.18,"121,123.97"
Token Millionaire [0x28cee4],retail,0x28cee4465f95720cb8464d56faea656751119040,"827,345.19",0.28,"781,830.14"
High Activity [0x27c9fa],retail,0x27c9fa86c91b84ddfa15de58c482ff662498d65d,"849,006.35",0.01,"270,055.79"
steelgroup.eth [0x222db1],retail,0x222db1e3abb6dc772e5dbdbe5ae553e338666666,"355,977.72",0.05,"151,354.18"
Former Smart Trader [0x208db9],retail,0x208db9f389989c5c387cc3a2620cc5251eace716,"5,860,353.49",0.33,"700,058.29"
High Activity [0x202513],retail,0x2025137a136bea7446deba681cbfc7cf1970840e,"4,557,560.01",0.00,"557,354.12"
Smart HL Perps Trader [0x179c17],retail,0x179c17d04be626561b0355a248d6055a80456aa5,"773,564.97",0.11,"477,531.54"
Whale [0x162cc7],retail,0x162cc7c861ebd0c06b3d72319201150482518185,"9,422,751.79",0.00,"213,701.11"
High Activity [0x123dbc],retail,0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff,"6,871,191.78",0.01,"463,673.15"
tuckie.eth [0x11eee2],retail,0x11eee2e0a613af4f636e23ff295e2dac6a191d1d,"659,029.08",0.02,"146,241.62"
Smart HL Perps Trader [0x106943],retail,0x106943709714fb0e5e62b82f5013ebc762591ae1,"302,318.42",0.10,"109,252.92"
[0x0fd468],retail,0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,"3,101,180.44",0.06,"368,852.69"
High Balance [0x0eba57],retail,0x0eba5721065f961bced568527bfa03ea9ed61a00,"201,853.39",0.32,"139,097.39"
Smart HL Perps Trader [0x0c4926],retail,0x0c4926daf1250b8da7b9fc339f304d923b94d346,"3,183,133.85",0.05,"104,474.99"
[0x0a06ec],retail,0x0a06ec6754b628be489b2c40bba20c8580392a7b,"1,190,944.44",0.01,"141,051.31"
[0x09bc1c],retail,0x09bc1cf4d9f0b59e1425a8fde4d4b1f7d3c9410d,"12,365,449.30",0.05,"1,223,850.18"
[0x0926f7],retail,0x0926f77ea235314df97199f7d90848037b38a6da,"632,417.46",0.02,"296,366.64"
Manifold Trading [0x091144],retail,0x091144e651b334341eabdbbbfed644ad0100023e,"2,340,578.98",0.01,"282,868.91"
Auros Global [0x023a3d],VCs,0x023a3d058020fb76cca98f01b3c48c8938a22355,"15,807,252.28",0.00,"599,430.09"
High Balance [0xf5a465],retail,0xf5a465c928753b4c2e44230ffac714d5b590384a,"781,908.56",0.03,"281,775.83"
High Balance [0xec326a],retail,0xec326a384ae965647d87e1f85db46d2efa15ae82,"1,265,505.71",0.03,"733,025.58"
Smart HL Perps Trader [0xe82bc6],retail,0xe82bc65677e46b6626a8e779ac263221db039c2d,"436,600.28",0.11,"308,830.19"
Smart HL Perps Trader [0xe28236],retail,0xe2823659be02e0f48a4660e4da008b5e1abfdf29,"1,934,660.30",0.11,"537,630.78"
Smart HL Perps Trader [0xdca131],retail,0xdca131ba8f428bd2f90ae962e4cb2d226312505e,"463,076.94",0.16,"509,813.76"
Gnosis Safe Creator [0xd58f54],retail,0xd58f5434c7317e052b70bb6bcbf50b8f3c2a5efd,"334,686.18",0.00,"106,033.05"
High Balance [0xcf082e],retail,0xcf082e60553c05918d7ec0416929e07b5c00209c,"336,384.02",0.08,"169,427.58"
[0xcd2106],retail,0xcd21065085e9bb2a9c8baa7cbd84a5da1e260601,"428,646.36",0.04,"134,685.11"
Smart HL Perps Trader [0xcd1c93],retail,0xcd1c932a413868c3c84e73e195bf34c1ba4ffec5,"249,279.43",0.12,"203,782.11"
CL [0xcb58b8],retail,0xcb58b8f5ec6d47985f0728465c25a08ef9ad2c7b,"365,322.12",0.04,"125,397.49"
Smart HL Perps Trader [0xbc433b],retail,0xbc433ba7c34752448c5361e5ed3038628a1753b0,"1,311,434.12",0.19,"301,475.19"
Nexus [0xadd12a],retail,0xadd12adbbd5db87674b38af99b6dd34dd2a45e0d,"1,511,163.00",0.04,"158,758.05"
Top 100 on EZETH Leaderboard [0xa87a23],retail,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,"10,336,901.81",0.23,"886,638.88"
HIKARI: hikarideployer.eth [0xa2acb1],retail,0xa2acb1c1d689fd3785696277537a504fcea8d1d0,"756,335.42",0.48,"204,426.17"
zugzwang.eth [0xa11f83],retail,0xa11f83cbb07fd0327415bd424b986132e009f643,"178,803.56",0.08,"188,122.03"
Smart HL Perps Trader [0x8a0cd1],retail,0x8a0cd16a004e21e04936a0a01c6f5a49ff937914,"306,432.10",0.01,"200,310.05"
Yield Farmer [0x888e00],retail,0x888e000c78b8f1aada5b3c99f880794907b76d77,"1,335,935.04",0.01,"115,510.25"
OpenSea User [0x86ccd7],retail,0x86ccd73e2de200ab3e15ee0bd5865f0b405f52b9,"317,709.36",0.23,"312,641.99"
Gnosis Safe Creator [0x7f3773],retail,0x7f3773c5ed56801ca9398f3018d5c2aa47b8af1a,"173,722.65",0.08,"188,076.05"
[0x7e280c],retail,0x7e280c1b204072a5f3e346fa57e0105d68ef6efd,"784,052.35",0.06,"196,157.83"
[0x7905ab],retail,0x7905ab92e4b52ce4ae2ad4be66b051997d705aa8,"1,775,234.09",0.02,"102,018.49"
[0x7894bb],retail,0x7894bb4cd20e08c2ec1895968dd0b3d97edca5f7,"380,117.60",0.06,"105,238.39"
[0x749aa6],retail,0x749aa6ef3ab0d9c98b40e7b8983c01bd1097f6cc,"789,594.20",0.02,"112,089.18"
Bridge User [0x7258d0],retail,0x7258d00a24d6829ac4bf355127bfbc9e2303aed4,"367,184.40",0.00,"149,851.46"
High Balance [0x6b44fb],retail,0x6b44fb3b080c233c6cb0b2d70f4b5694fd528572,"830,412.45",0.00,"227,607.51"
mr-wonderful.eth [0x69423c],retail,0x69423c20cb04da697996534507f8541fdb3e9aa9,"237,023.26",0.01,"115,069.83"
[0x61a6aa],retail,0x61a6aab59d578936912c759ced526854774d166f,"249,455.05",0.13,"190,531.47"
stayawayfromridiculouslyprettygirls.eca.eth [0x563848],retail,0x5638484ba2d2f1d1d35020572b0aa439a9869192,"1,322,700.79",0.25,"302,850.01"
Bridge User [0x53babe],retail,0x53babe76166eae33c861aeddf9ce89af20311cd0,"1,210,237.35",0.04,"295,034.64"
Whale [0x50b309],retail,0x50b309f78e774a756a2230e1769729094cac9f20,"4,474,029.42",0.04,"976,557.89"
Former Smart Trader [0x4d470e],retail,0x4d470e0a241c3d7321b4b6c6f23f214db85bfa47,"2,973,098.40",0.05,"165,091.96"
Token Millionaire [0x45ab58],retail,0x45ab58a2034f03aa446baf3bb1d236706f866cbc,"3,931,044.87",0.55,"207,296.34"
Dex Trader [0x33ab78],retail,0x33ab783f066712796ecc64063b0ea2aa54f436f0,"447,105.37",0.03,"142,612.49"
Former Smart Trader [0x2974e9],retail,0x2974e9fc90398407003d87daab9521355a821914,"644,750.95",0.01,"220,047.71"
High Activity [0x185611],retail,0x185611e0343c14f53a4406891cb0fdc9e81808ae,"743,151.87",0.02,"104,080.22"
Whale [0x152e41],retail,0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,"21,570,281.43",0.00,"120,743.80"
Bridge User [0x152717],retail,0x15271757b398cd1d3d7cca05c4f7b0c159afa7c2,"7,685,232.27",0.02,"526,009.17"
Former Smart Trader [0x13d92e],retail,0x13d92e015d4a8a99ab8490fef42fe83e754116e1,"2,974,261.46",0.29,"497,847.53"
pension-usdt.eth [0x0ddf9b],retail,0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,"35,116,931.94",0.13,"4,776,446.84"
Former Smart Trader [0x05a196],retail,0x05a196a9477e70c184ed212d6cf02073f535c3bb,"761,000.75",0.00,"144,703.63"
